head,role,condition,signed_mean,mean_absolute_pair,max_absolute_pair,mean_absolute_family
L18H5,source,corruption,0.0010766780003905296,0.00882006268948312,0.0374217852950096,0.007428992912173245
L19H16,target,reorder,0.07972152438014743,0.1204906621947884,0.3604558035731315,0.0970513155683875
L19H16,target,corruption,-0.011999589577317232,0.06579515151679512,0.198602557182312,0.05444128401577471
L19H16,source,reorder,-0.015775445027975336,0.02145433398545714,0.0952805136330425,0.017070727277314245
L19H16,source,corruption,-0.002273725767736307,0.00943007485766425,0.04200891405344,0.007186669102520653
L19H20,target,reorder,-0.00201682990300465,0.002297252806601985,0.0087899109348654,0.0020754564495291147
L19H20,target,corruption,-0.0010942316381260617,0.002624214836396229,0.0113167464733123,0.0026147074997424627
L19H20,source,reorder,0.0007102710864273754,0.0014356831990880383,0.0060725787188857,0.0010106380941578897
L19H20,source,corruption,-3.958970482926898e-05,0.0004570719174807462,0.0022448543459177,0.00042140077857762744
L19H22,target,reorder,-0.005463873408734812,0.09790277723222966,0.24473437666893,0.057034751214086986
L19H22,target,corruption,0.005386456847190855,0.10871543362736698,0.2976505756378174,0.09511953145265577
L19H22,source,reorder,-0.020292277703993007,0.03455714031588282,0.1386984325945377,0.026660176157020005
L19H22,source,corruption,-0.0053510064724832706,0.0134757957886904,0.0561777502298355,0.011373891448602054
L1H27,target,reorder,-0.0017623505089431786,0.003409870353061663,0.0141128255054354,0.002003894234076119
L1H27,target,corruption,-0.0012391972646582606,0.0017652676498982583,0.0097806826233863,0.0017367749882395915
L1H27,source,reorder,-0.0010569703503278817,0.001794427921413408,0.0061732840258628,0.0012659261788939848
L1H27,source,corruption,1.9015278667193332e-06,2.9024551622567738e-05,0.0001017842441797,2.617977443150994e-05
L20H1,target,reorder,-0.03573080156929791,0.08357496145181353,0.3511845469474792,0.05897296625189482
L20H1,target,corruption,-0.008767676772549738,0.08297181664966043,0.3108810782432556,0.07865937701426444
L20H1,source,reorder,-0.0360729671127046,0.04278823889762857,0.2380817639641463,0.03607296711270461
L20H1,source,corruption,-0.0027251156512647827,0.013928150432184289,0.0634002089500427,0.01293885284103449
L20H14,target,reorder,0.004619520530104633,0.02471173331141468,0.0858533233404159,0.011264764331281174
L20H14,target,corruption,-0.0017976129427552147,0.02866683471947904,0.0954855680465698,0.023672611825168097
L20H14,source,reorder,0.016339375276584158,0.019102950498927334,0.0865690167993307,0.01726215329254043
L20H14,source,corruption,-0.00039337190100922757,0.0036037820740602473,0.0174565277993679,0.003336964373011112
L20H7,target,reorder,0.02748541012406349,0.13586668446660038,0.4258696436882019,0.10352559760212895
L20H7,target,corruption,-0.037312621623277656,0.13046972826123232,0.4351387023925781,0.11156266704201698
L20H7,source,reorder,-0.002383227776954284,0.0036912272018525456,0.0195657233707606,0.0034761969876853606
L20H7,source,corruption,0.0010504993526410595,0.0033118966039182482,0.0274780802428722,0.002755795774646669
L21H11,target,reorder,0.0001996116508962341,0.0004562370508210279,0.0018019129056483,0.00031951110868245905
L21H11,target,corruption,6.171188579173631e-05,0.00045059917465546504,0.0018465179018676,0.00040251905884357633
L21H11,source,reorder,0.0005578143529418909,0.0005758358114689615,0.0020157283870503,0.0005578143529418909
L21H11,source,corruption,7.402587725664176e-05,0.0001340282113232873,0.0015128994127735,0.00010803113036670836
L21H18,target,reorder,-0.02416834868490695,0.15379001460969444,0.4879671335220337,0.08222968243062494
L21H18,target,corruption,0.003522265329957,0.11942440755665298,0.3212019801139831,0.09594398774206638
L21H18,source,reorder,0.012191673424967997,0.012823021154326809,0.0772320560645312,0.012191673424967997
L21H18,source,corruption,0.00010203672427451854,0.001798106866772238,0.0166801661252975,0.00168529050279172
L21H22,target,reorder,-0.0031457855773623948,0.00875953649519938,0.0994278937578201,0.0054753743752371355
L21H22,target,corruption,-0.008363876119256016,0.019295767415314864,0.1309535708278417,0.019257097691297492
L21H22,source,reorder,0.0008789757528574954,0.00317895975022106,0.0221860082820057,0.0025903686444507684
L21H22,source,corruption,-0.0004268356948159637,0.001721720874775154,0.0105656012892723,0.001614161196630411
L21H23,target,reorder,0.0024945969926193244,0.018863710039295205,0.0708514750003814,0.012432165467180291
L21H23,target,corruption,-0.0018177306046709407,0.01777780756819989,0.0588907971978187,0.015606036433018713
L21H23,source,reorder,-0.0010565132513875044,0.004260374224395449,0.0161936245858669,0.003640185241238192
L21H23,source,corruption,-0.002251325821271144,0.003395219106459943,0.0209230845794081,0.0029432931274641005
L21H24,target,reorder,-0.02561117764562365,0.029353651218116228,0.0916169434785842,0.02567914258688685
L21H24,target,corruption,-0.006705697160214177,0.038249729108065324,0.139877088367939,0.037122659292072015
L21H24,source,reorder,0.017063266062177694,0.021996160666458257,0.0583066456019878,0.018207923253066808
L21H24,source,corruption,0.0005694947205483951,0.005415696557611175,0.0141938552260398,0.004527482390403715
L21H25,target,reorder,-0.007453535124659539,0.022681418713182168,0.0800022482872009,0.016693169623613325
L21H25,target,corruption,-0.006330409925431012,0.03504450013861055,0.1314622536301612,0.03485652729868886
L21H25,source,reorder,0.016552573337685294,0.027119555592071222,0.1925152018666267,0.018842409260105324
L21H25,source,corruption,-0.0011099508905317566,0.007741166377672877,0.0690079629421234,0.007119013188639642
L21H27,target,reorder,0.005893521383404736,0.06380539126694199,0.2037383168935775,0.03289333917200564
L21H27,target,corruption,0.006565958447754372,0.09572512041777367,0.4376304596662521,0.08601648565381763
L21H27,source,reorder,0.011411319606122534,0.014762355890707063,0.0516317691653966,0.012183653845568156
L21H27,source,corruption,0.0009942371019860626,0.0046505327773047125,0.0307379765436053,0.004151218742481408
L21H6,target,reorder,-0.11089640203863382,0.15664823316037652,0.4517792761325836,0.1108964020386338
L21H6,target,corruption,0.029095813073217857,0.12671316545456643,0.3557634502649307,0.12449702899903055
L21H6,source,reorder,-0.003988996200496316,0.004871845888555931,0.0590346973622217,0.00446439634833947
L21H6,source,corruption,0.00093764794582968,0.005403028539149045,0.0569192674010992,0.00477082960132972
L22H15,target,reorder,-0.00011763603106371109,0.0002608172377221812,0.0013276850804686,0.0002057980003882815
L22H15,target,corruption,0.0002219315501861228,0.0006844538147560792,0.0017026087734848,0.0006431540416087574
L22H15,source,reorder,0.00021418309625002922,0.00024911000218704783,0.0011388118728064,0.00021965710475339923
L22H15,source,corruption,1.1277208977841819e-05,7.6125758641856e-05,0.000287125527393,6.331252952803879e-05
L22H31,target,reorder,-0.013758604414761053,0.03580264691263433,0.180255077779293,0.02574652042239902
L22H31,target,corruption,0.05029479223303497,0.10342762707732614,0.3298211805522442,0.10303899752907453
L22H31,source,reorder,0.012628136605781007,0.013065571752667843,0.0816144533455371,0.012628136605781007
L22H31,source,corruption,-0.0013120157913362955,0.0019277669642178397,0.0166294816881418,0.001874984402820666
L22H5,target,reorder,0.002459399774670603,0.07325938083231445,0.2548800706863403,0.041038472577929475
L22H5,target,corruption,-0.009431057795882217,0.10944456718862053,0.3062770962715149,0.10209655575454231
L22H5,source,reorder,0.015546678242390016,0.017685470895958087,0.1069264868274331,0.016023204315570153
L22H5,source,corruption,-0.0008101851824903934,0.0033391885779564734,0.0171430334448814,0.0026840266800718165
L23H10,target,reorder,-0.022773743653669947,0.03806519717909391,0.1568539515137672,0.025766035309061398
L23H10,target,corruption,-0.00902448743581771,0.02350299563258882,0.123739093542099,0.02193023702129718
L23H10,source,reorder,0.009379824250936492,0.011408882215619032,0.0503961751237511,0.010516308341175293
L23H10,source,corruption,-0.0003872850211337067,0.00252497156616295,0.0085966205224394,0.002401609835214872
L23H15,target,reorder,-0.020953770726919174,0.12197465077042575,0.4495923221111297,0.08691098913550376
L23H15,target,corruption,-0.024649111181497586,0.1381182767450809,0.3922604024410248,0.12610643878579136
L23H15,source,reorder,0.009626375746302046,0.012801303530432,0.064009912777692,0.011094814645912231
L23H15,source,corruption,0.0007280657941009776,0.004214392160065428,0.0227006499189883,0.003915850247722083
L23H17,target,reorder,-0.00015967662620821414,0.00024842317507132577,0.0008736005984246,0.00020008156716354845
L23H17,target,corruption,-1.8622202333054593e-05,0.0004231018188874692,0.0018182059284299,0.0003958678920752902
L23H17,source,reorder,0.0004864304399233951,0.000522304537298586,0.0018948268843814,0.0004864304399233951
L23H17,source,corruption,6.011279110679266e-05,9.412921572219093e-05,0.000428426428698,7.799913364577774e-05
L24H17,target,reorder,0.023896685056388395,0.10301750469952817,0.2894230335950851,0.07159094233065842
L24H17,target,corruption,-0.06830474310554564,0.20319510609842834,0.5452808812260628,0.2007645911071449
L24H17,source,reorder,0.012990002575679654,0.01500377470511007,0.0689491629600524,0.013114389681140861
L24H17,source,corruption,0.000624632264953105,0.005568219264387105,0.0425164345651865,0.005300390574848243
L25H11,target,reorder,5.882647674297168e-05,0.0003224084721295651,0.0012297112261876,0.0001806965898140181
L25H11,target,corruption,-1.844521320890426e-05,0.0003121700312476178,0.0009684811811894,0.0002867484232410399
