head,anchor,current_role,events,families,target,control,gap
L6H24,first,neither,20,12,0.005376555688498128,0.010996683332551683,-0.005620127644053557
L6H24,last,neither,20,12,0.014568069445279738,0.011625534104395126,0.00294253534088461
L7H1,first,neither,116,45,0.008511312694668217,0.009997201994726907,-0.001485889300058688
L7H1,last,neither,116,45,0.008624424864268534,0.007679428916423075,0.0009449959478454582
L7H1,first,control,20,6,0.01285376351637145,0.009944303367390401,0.0029094601489810484
L7H1,last,control,20,6,0.006973223547295977,0.021453807076775574,-0.014480583529479596
L7H18,first,control,487,88,0.008486816341432122,0.00984596769235932,-0.0013591513509272016
L7H18,last,control,487,88,0.02306832088103954,0.019631995764368363,0.003436325116671178
L7H18,first,neither,39,19,0.010491994613977639,0.009334494612024477,0.001157500001953163
L7H18,last,neither,39,19,0.021096706874015037,0.024053703020571877,-0.0029569961465568404
L7H25,first,neither,48,31,0.011996675137823487,0.011694697345608079,0.0003019777922154088
L7H25,last,neither,48,31,0.016580593645177097,0.020561124645883937,-0.003980531000706834
L7H25,first,control,25,12,0.016129620234520796,0.008869143683679996,0.007260476550840798
L7H25,last,control,25,12,0.018210343030902246,0.01718273341151265,0.0010276096193895963
L8H8,first,neither,15,4,0.013132059869046012,0.012671792258818943,0.00046026761022706884
L8H8,last,neither,15,4,0.008274700861268986,0.016016712100180384,-0.007742011238911396
L8H8,first,control,15,9,0.015132310860617846,0.010022891885859685,0.005109418974758161
L8H8,last,control,15,9,0.02840806029012634,0.004350433160585386,0.024057627129540952
L8H15,first,neither,273,75,0.014821411987743524,0.018043755550162924,-0.0032223435624194013
L8H15,last,neither,273,75,0.012337320460019528,0.01255849351996812,-0.00022117305994859212
L8H15,first,control,7,3,0.005219150024155776,0.004159930162131786,0.0010592198620239894
L8H15,last,control,7,3,0.022027816126743954,0.00650375181188186,0.015524064314862092
L8H16,first,target,99,32,0.011179909277704307,0.009690825768042385,0.0014890835096619214
L8H16,last,target,99,32,0.008321589921090184,0.012889632875966426,-0.004568042954876243
L8H16,first,neither,161,67,0.010915202511390798,0.009243725116179706,0.0016714773952110921
L8H16,last,neither,161,67,0.016580625019690418,0.017539123952681417,-0.0009584989329910005
L8H16,first,control,69,33,0.010530525611506567,0.009841097889973519,0.0006894277215330479
L8H16,last,control,69,33,0.011795893851244315,0.010609004588136043,0.0011868892631082724
L9H6,first,neither,46,18,0.025989134354447878,0.014439148421508527,0.011549985932939355
L9H6,last,neither,46,18,0.017395816493296513,0.019786787108319846,-0.0023909706150233336
L9H16,first,control,311,87,0.0070306861155975155,0.0074644729567247894,-0.00043378684112727343
L9H16,last,control,311,87,0.020689937542719118,0.013053860730365857,0.007636076812353262
L9H16,first,neither,32,28,0.015154417381771574,0.013776649228973493,0.0013777681527980816
L9H16,last,neither,32,28,0.024908697947726717,0.01706884794596893,0.007839850001757786
L9H17,first,control,13,7,0.015358277205710433,0.010843840474817193,0.004514436730893239
L9H17,last,control,13,7,0.008634600056601422,0.01085634194757967,-0.0022217418909782453
L9H17,first,neither,25,20,0.007462559634586796,0.004806612006116969,0.0026559476284698266
L9H17,last,neither,25,20,0.02513296969118528,0.01589598464197479,0.00923698504921049
L9H22,first,neither,5,4,0.004707056097686291,0.004689208542307218,1.7847555379072897e-05
L9H22,last,neither,5,4,0.007871405221521854,0.017269616713747382,-0.009398211492225528
L9H22,first,control,4,1,0.0,0.0,0.0
L9H22,last,control,4,1,0.0013937422772869468,0.0019135867866377036,-0.0005198445093507569
L10H16,first,control,90,39,0.016133375934255012,0.01768074447231565,-0.0015473685380606383
L10H16,last,control,90,39,0.01097681021082024,0.006484931228338129,0.004491878982482112
L10H16,first,neither,2,2,0.0,0.007217111997306347,-0.007217111997306347
L10H16,last,neither,2,2,0.0,0.010878581320866942,-0.010878581320866942
L11H3,first,control,71,37,0.009250009567623639,0.00926857886633342,-1.856929870978143e-05
L11H3,last,control,71,37,0.009501759816267368,0.01004967402711206,-0.0005479142108446901
L11H3,first,neither,176,55,0.005397986502721354,0.005193438369283658,0.00020454813343769395
L11H3,last,neither,176,55,0.006537442541085174,0.007896829435961813,-0.0013593868948766378
