head,variant,site,role,anchor,mode,mean,family_sd,family_min,family_max,families,events,positive_family_fraction
L11H15,base,earlier,source,first,raw,-0.0013209767756074838,0.005362322130860049,-0.013644364145067001,0.006828439408454343,20,947,0.35
L11H15,base,earlier,source,first,output,0.0010749577504317839,0.02570870259588123,-0.05454046138818713,0.0694078523285535,20,947,0.5
L11H15,base,earlier,source,last,raw,-0.0010953306223275016,0.004943262768286974,-0.0074460789009376804,0.008276378666913069,20,947,0.3
L11H15,base,earlier,source,last,output,0.005682208882201322,0.027107554815455164,-0.030548133711883984,0.07058865229288735,20,947,0.5
L11H15,base,final,source,first,raw,0.0004714290301005046,0.006476419693625826,-0.011095682779947916,0.012024561564127604,20,40,0.55
L11H15,base,final,source,first,output,-0.009633759657541914,0.03685176225107223,-0.09331003824869792,0.0751940409342448,20,40,0.5
L11H15,base,final,source,last,raw,0.0013760129610697427,0.005950665255037227,-0.013211568196614584,0.011837323506673176,20,40,0.6
L11H15,base,final,source,last,output,0.010847353935241699,0.027038400539165546,-0.039483388264973954,0.06753667195638022,20,40,0.75
L11H15,base,final,target,first,raw,0.0012645522753397622,0.0033517752270332954,-0.007030487060546875,0.006827672322591146,20,40,0.65
L11H15,base,final,target,first,output,0.00135422150293986,0.02660052421121164,-0.04773235321044922,0.05926386515299479,20,40,0.5
L11H15,base,final,target,last,raw,-0.00038905541102091454,0.006571262509614918,-0.013536930084228516,0.011980692545572918,20,40,0.55
L11H15,base,final,target,last,output,0.00356271266937256,0.02118282253298946,-0.0663921038309733,0.03792762756347656,20,40,0.65
L12H2,base,earlier,target,first,raw,-7.156758950978365e-05,0.005010397114436478,-0.009550550203213748,0.011629021100405246,20,1193,0.35
L12H2,base,earlier,target,first,output,0.0002415750475781526,0.013240145084028746,-0.0379260576259323,0.021982505403715994,20,1193,0.55
L12H2,base,earlier,target,last,raw,-0.0009888612795127829,0.004428640789281908,-0.009055488308270772,0.008318166623170347,20,1193,0.35
L12H2,base,earlier,target,last,output,-0.0006223723347092612,0.01669757885855584,-0.02740795598865229,0.030666854232549667,20,1193,0.45
L12H2,base,earlier,source,first,raw,-0.002308122416451708,0.007278201859044755,-0.01321871060851618,0.01894012259112464,20,947,0.25
