head,variant,site,metric,mean,family_sd,family_min,family_max,families,events,positive_family_fraction
L21H11,corrupted,final,relevant_source_last,0.00041169910073222125,9.34808311779674e-05,0.00026131628692382947,0.0005534741503652185,20,40,1.0
L21H11,corrupted,final,relevant_target_mass,0.0022886356819071807,0.0006244308823482208,0.0009550717368256301,0.0037024016492068768,20,40,1.0
L21H11,corrupted,final,relevant_target_first,0.0009699889938929118,0.0003197373373675318,0.0003001551376655698,0.00181526446249336,20,40,1.0
L21H11,corrupted,final,relevant_target_last,0.0005073007763712667,0.00018026060394186254,0.00023864171089371666,0.0009085858182515949,20,40,1.0
L21H23,corrupted,earlier,self,0.030634417502701905,0.0035767663817831475,0.02546545535647858,0.03995056145358831,20,2096,1.0
L21H23,corrupted,earlier,previous,0.01464786393347176,0.0030321687803860804,0.010884429515919272,0.02150216593575778,20,2096,1.0
L21H23,corrupted,earlier,distractor_target_mass,0.022459562226023702,0.003954167479133796,0.017245015398118454,0.03292332026599483,20,4413,1.0
L21H23,corrupted,earlier,distractor_target_first,0.0073480058585352875,0.0014503397227168117,0.004965895198943649,0.009428113974146462,20,4413,1.0
L21H23,corrupted,earlier,distractor_target_last,0.009684438086001293,0.0015797567592837692,0.006398408879106972,0.012021663174201766,20,4413,1.0
L21H23,corrupted,earlier,distractor_source_mass,0.010982773151259527,0.0019128885278764838,0.00888920436006239,0.016399278866152306,20,3633,1.0
L21H23,corrupted,earlier,distractor_source_first,0.0038722942270376323,0.0006372235182245195,0.0024982271257971153,0.004955510014193957,20,3633,1.0
L21H23,corrupted,earlier,distractor_source_last,0.005424590450117771,0.0008193974518751129,0.004246612554567576,0.007318306181465293,20,3633,1.0
L21H23,corrupted,earlier,relevant_target_mass,0.02035213091507919,0.0037569400929317828,0.012268723333896748,0.026177981027191686,20,1193,1.0
L21H23,corrupted,earlier,relevant_target_first,0.006177659140885794,0.0021863230176973145,0.0031482510719081907,0.010336085711939825,20,1193,1.0
L21H23,corrupted,earlier,relevant_target_last,0.00857457814785016,0.0018424935155327779,0.00622698094772759,0.01261134246682371,20,1193,1.0
L21H23,corrupted,earlier,relevant_source_mass,0.006951514730733023,0.0024523450509142913,0.0032456375641534882,0.012456286747086173,20,947,1.0
L21H23,corrupted,earlier,relevant_source_first,0.00437798533252567,0.0017392520260464104,0.0019292114279020705,0.007751452506302788,20,947,1.0
L21H23,corrupted,earlier,relevant_source_last,0.0019129934023622095,0.0004504401737586995,0.001316426125943811,0.0029215290429103493,20,947,1.0
L21H23,corrupted,final,self,0.20970250451937317,0.10565054430038584,0.039252208545804024,0.3841584026813507,20,40,1.0
L21H23,corrupted,final,previous,0.003780078352428973,0.0013315688536317926,0.0014693287084810436,0.007019877200946212,20,40,1.0
L21H23,corrupted,final,distractor_source_mass,0.004651905520343765,0.0017772686003933891,0.002402519360960772,0.00888161842400829,20,120,1.0
L21H23,corrupted,final,distractor_source_first,0.0018131700046675782,0.0010105617093986398,0.0008082451337638,0.004304540925659239,20,120,1.0
L21H23,corrupted,final,distractor_source_last,0.0022740720904645666,0.000529992899560845,0.0013568343104755816,0.0033054123632609844,20,120,1.0
